S21S3F0  0      102.06Factory Default CPG2030-003-05  
O121O 2 4 1
P01   42.26  17.19 -51.52-100.96   3.84  97.23
l121l1000
I121I   0.00
O1,2,4,16,1P01   41.54  17.15 -52.11-100.97   3.12  96.45 0
O1,52,54,66,51P01  4.17353E+01  1.70259E+01 -5.19908E+01 -1.00994E+02  3.58527E+00  9.65451E+01 120
P01  4.10649E+01  1.71339E+01 -5.25120E+01 -1.00847E+02  3.08801E+00  9.53761E+01 120
O1,52,54,51P01  4.19821E+01  1.66604E+01 -5.19392E+01 -1.01123E+02  2.94801E+00  9.64354E+01 
P01  4.16090E+01  1.65575E+01 -5.22553E+01 -1.01325E+02  3.16845E+00  9.64175E+01 
O1,52,54,16,51P01  4.18333E+01  1.70420E+01 -5.19074E+01 -1.01076E+02  3.26461E+00  9.69333E+01  0
O1,52,54,66,51P01  4.20877E+01  1.71737E+01 -5.17119E+01 -1.00893E+02  3.69339E+00  9.69266E+01 120
e1Tf2 E*ERROR**ERROR* EC -99*PS  1*FL  0*ST 1*
fP01 {%B”õäA/Q¬˙…¬0'R@-Ì¿B120
O1,2,4,1O1,2,4,16,1P01 ¨a$B™&âA≤ÎQ¬◊Å…¬Åë?@ø|øB 0
FP01   42.11  15.67 -52.09-101.88   2.69  97.13 0
01  0  41.76  17.60 -51.74-100.58   4.14  96.83
01  0  41.60  17.69 -51.80-100.60   4.31  96.72
01  0  41.84  17.62 -51.64-100.60   4.32  97.02
01  0  42.00  17.31 -51.64-100.76   4.20  96.92
01  0  41.90  16.71 -52.01-101.00   3.84  96.89
01  0  42.21  16.74 -51.68-100.91   3.86  97.16
01  0  41.93  16.98 -51.89-100.86   3.75  96.81
01  0  42.01  16.86 -51.83-101.00   3.63  97.02
01  0  41.74  16.72 -52.11-101.14   2.97  96.33
01  0  41.93  16.65 -52.01-101.25   3.18  96.95
01  0  41.93  17.69 -51.59-100.57   4.12  96.93
01  0  41.81  17.71 -51.69-100.58   3.85  96.72
01  0  41.75  17.08 -51.93-100.91   3.44  96.79
01  0  41.66  17.79 -51.67-100.41   4.14  96.73
01  0  42.47  16.58 -51.45-101.49   3.35  97.44
01  0  42.53  16.87 -51.32-101.17   3.81  97.46
01  0  42.60  16.37 -51.44-101.62   3.25  97.49
01  0  42.66  15.81 -51.61-101.90   2.83  97.66
01  0  42.57  16.49 -51.43-101.37   3.18  97.75
01  0  42.38  16.24 -51.73-101.51   2.78  97.52
01  0  42.26  16.92 -51.55-101.10   3.42  97.71
01  0  42.10  16.70 -51.77-101.22   2.93  97.37
01  0  42.04  17.53 -51.52-100.77   3.95  97.46
01  0  42.16  17.45 -51.44-100.96   3.89  97.55
01  0  42.43  17.04 -51.40-101.16   3.92  97.64
01  0  42.12  17.85 -51.34-100.49   4.39  97.25
01  0  42.21  16.72 -51.69-101.34   3.31  97.53
01  0  42.23  16.82 -51.66-101.23   3.64  97.46
01  0  42.12  16.84 -51.77-101.21   3.39  97.34
01  0  42.37  16.37 -51.70-101.62   3.30  97.70
01  0  41.85  17.12 -51.83-100.96   3.57  97.04
01  0  41.64  16.92 -52.07-101.18   3.26  96.78
01  0  41.83  17.02 -51.84-101.11   3.61  97.26
01  0  41.91  17.10 -51.79-100.96   3.53  97.17
01  0  42.14  16.68 -51.73-101.32   3.18  97.29
01  0  41.99  16.97 -51.73-101.03   3.43  97.15
01  0  41.93  16.91 -51.82-101.21   3.36  97.04
01  0  41.89  17.20 -51.76-101.09   3.70  96.95
01  0  41.97  17.03 -51.81-101.11   3.34  97.13
01  0  42.03  17.10 -51.76-100.98   3.51  97.20
01  0  41.95  17.30 -51.75-100.91   3.66  97.11
01  0  41.94  17.19 -51.80-100.99   3.63  96.99
01  0  41.60  17.41 -51.96-100.69   3.64  96.51
01  0  41.32  17.86 -52.03-100.53   4.05  96.33
01  0  40.92  17.34 -52.56-100.56   3.40  95.92
01  0  41.00  17.82 -52.40-100.31   3.87  96.00
01  0  41.61  17.90 -51.86-100.29   4.05  96.47
01  0  41.61  17.94 -51.82-100.30   4.14  96.29
01  0  41.62  17.58 -51.93-100.58   4.00  96.35
01  0  41.80  17.58 -51.74-100.59   4.08  96.59
01  0  42.08  17.40 -51.61-100.61   3.93  96.83
01  0  42.49  17.49 -51.29-100.69   4.22  97.16
01  0  42.69  17.44 -51.09-100.65   4.17  97.47
01  0  42.62  17.13 -51.24-100.74   3.80  97.34
01  0  41.94  16.60 -52.04-100.96   3.24  96.82
01  0  41.86  16.31 -52.17-101.16   3.03  96.85
01  0  41.35  16.25 -52.67-101.25   2.65  96.34
01  0  41.24  16.70 -52.60-101.01   2.67  96.19
01  0  41.51  16.73 -52.34-101.30   2.94  96.29
01  0  41.62  16.87 -52.23-101.21   2.99  96.40
01  0  41.84  17.10 -51.88-101.18   3.31  96.62
01  0  41.95  17.10 -51.83-101.03   3.16  96.74
01  0  41.55  17.15 -52.07-100.98   3.20  96.28
01  0  41.54  17.44 -51.99-100.92   3.59  96.37
01  0  41.97  17.09 -51.77-101.07   3.35  96.83
01  0  41.80  17.05 -51.91-100.89   3.32  96.51
01  0  41.99  17.18 -51.80-100.81   3.64  96.85
01  0  41.65  17.27 -52.00-100.71   3.45  96.25
01  0  41.64  17.51 -51.93-100.48   3.68  96.71
01  0  41.89  17.40 -51.79-100.70   3.64  96.84
01  0  41.88  17.39 -51.75-100.79   3.82  96.74
01  0  41.94  17.18 -51.81-100.95   3.62  96.72
01  0  41.95  16.80 -51.87-100.99   3.33  96.80
01  0  42.08  16.74 -51.81-101.03   3.32  97.03
01  0  41.87  16.60 -52.00-101.16   3.17  96.63
01  0  41.96  16.66 -51.92-101.18   3.31  96.92
01  0  42.48  16.89 -51.49-101.25   3.53  97.37
01  0  42.42  16.88 -51.45-101.14   3.52  97.33
01  0  43.95  17.35 -50.18-101.26   4.50  98.98
01  0  43.35  17.17 -50.51-101.21   4.18  98.24
01  0  42.06  17.51 -51.50-100.88   4.19  97.52
01  0  42.22  17.10 -51.67-101.20   3.76  97.49
01  0  40.97  17.32 -52.36-100.78   3.62  96.30
01  0  41.56  16.96 -52.15-101.08   3.45  96.98
01  0  41.88  16.94 -51.85-100.96   3.43  97.01
01  0  41.79  16.92 -51.94-101.00   3.42  96.84
01  0  42.46  17.37 -51.37-101.07   3.90  97.39
01  0  42.30  17.30 -51.46-101.02   3.76  97.14
01  0  41.65  17.70 -51.81-100.67   3.97  96.77
01  0  41.91  17.77 -51.60-100.83   4.23  97.10
01  0  41.71  17.70 -51.78-100.69   4.02  96.68
01  0  41.89  17.26 -51.82-101.00   3.68  96.99
01  0  41.62  17.21 -52.00-100.60   3.54  96.47
01  0  41.48  17.34 -52.10-100.61   3.55  96.51
01  0  41.32  17.11 -52.30-100.77   3.16  96.50
01  0  41.12  17.11 -52.48-100.70   3.11  95.99
01  0  41.08  17.34 -52.41-100.55   3.31  96.12
01  0  41.15  17.24 -52.41-100.66   3.22  96.05
01  0  41.83  17.03 -51.89-101.01   3.38  96.40
01  0  41.76  17.03 -51.96-100.97   3.34  96.30
01  0  41.54  16.88 -52.16-101.09   3.12  95.98
01  0  41.42  16.86 -52.32-101.03   3.04  95.96
01  0  41.78  16.58 -52.13-101.33   2.93  96.49
01  0  42.18  16.84 -51.68-101.15   3.20  96.83
01  0  42.25  17.13 -51.61-100.95   3.45  96.99
01  0  42.54  17.23 -51.27-101.01   3.61  97.24
01  0  42.41  17.01 -51.44-101.09   3.41  97.17
01  0  42.61  16.68 -51.35-101.45   3.42  97.47
01  0  42.54  16.72 -51.42-101.37   3.43  97.32
01  0  42.72  16.43 -51.39-101.58   3.23  97.72
01  0  42.42  16.64 -51.55-101.34   3.17  97.21
01  0  42.17  16.89 -51.68-101.16   3.25  97.23
01  0  42.10  17.30 -51.60-100.89   3.54  97.23
01  0  41.65  16.62 -52.16-101.13   2.64  96.75
01  0  41.43  16.73 -52.31-101.09   2.81  96.64
01  0  41.24  16.43 -52.62-101.23   2.52  96.51
01  0  41.17  16.45 -52.64-101.26   2.62  96.35
01  0  41.15  16.86 -52.52-101.05   2.90  96.29
01  0  41.19  17.62 -52.20-100.67   3.41  96.24
01  0  41.07  17.48 -52.37-100.85   3.23  95.97
01  0  41.31  17.04 -52.31-100.97   3.05  96.10
01  0  41.28  16.95 -52.33-101.06   2.98  96.07
01  0  41.10  16.84 -52.56-101.01   2.68  95.73
01  0  41.31  16.99 -52.36-101.08   3.12  96.13
01  0  41.66  16.74 -52.17-101.31   2.92  96.33
01  0  41.49  16.68 -52.31-101.19   2.72  96.06
01  0  41.63  16.86 -52.14-101.07   3.04  96.45
01  0  41.89  17.01 -51.87-101.04   3.29  96.68
01  0  41.64  17.27 -52.06-100.83   3.30  96.13
01  0  41.61  17.35 -52.08-100.80   3.40  96.18
01  0  41.44  17.28 -52.20-100.92   3.38  95.90
01  0  41.55  17.28 -52.08-100.96   3.57  96.20
01  0  41.37  17.23 -52.28-100.91   3.40  95.85
01  0  41.33  17.20 -52.31-100.92   3.35  95.95
01  0  41.99  17.04 -51.76-101.17   3.53  96.73
01  0  41.34  17.14 -52.30-100.79   3.22  95.56
01  0  41.57  17.10 -52.08-101.04   3.56  96.35
01  0  40.45  17.17 -52.99-100.68   2.88  94.99
01  0  40.74  17.18 -52.71-100.91   3.22  95.65
01  0  40.94  17.34 -52.51-100.67   3.19  95.38
01  0  40.71  17.47 -52.68-100.56   3.19  95.17
01  0  41.28  17.62 -52.08-100.67   3.84  96.00
01  0  41.06  17.55 -52.34-100.43   3.37  95.43
01  0  41.38  17.31 -52.13-100.58   3.45  96.08
01  0  41.63  17.15 -51.97-100.74   3.37  96.27
01  0  40.72  17.05 -52.81-100.72   2.84  94.97
01  0  41.02  16.77 -52.61-100.99   2.88  95.70
01  0  41.00  17.05 -52.60-100.66   3.02  95.47
01  0  41.43  17.17 -52.16-100.73   3.35  96.10
01  0  41.51  16.94 -52.22-100.79   2.93  95.63
01  0  41.41  16.91 -52.30-100.86   2.96  95.69
01  0  42.02  16.60 -51.84-101.27   2.98  96.36
01  0  41.42  16.42 -52.45-101.12   2.40  95.42
01  0  42.14  16.52 -51.72-101.33   2.99  96.82
01  0  42.06  16.75 -51.76-101.08   2.96  96.51
01 c 0  41.75  16.64 -52.08-101.10   2.59  96.15
01  0  41.92  16.74 -51.85-101.06   2.84  96.62
01  0  41.67  16.89 -52.02-100.97   2.87  96.23
2 E*ERROR**ERROR* EC -99*PS  1*FL  0*ST 1*
2 E*ERROR**ERROR* EC -99*PS  1*FL  0*ST 1*
o1152,N,8,0P01  0  41.49  17.38 -52.04-100.59   3.60  96.09
o384,N,8,0P01  0  41.17  17.52 -52.27-100.45   3.54  95.87
O1,19,18,16P01 ì\5@"f2	d 0O1,18,19P01 ∏E	jc\""P01 	d\$C"PP
